latitude,longitude,h_loc_count,hour,day_of_week,is_weekend,is_night,road_surface_encoded,weather_risk_score,is_raining,is_high_wind,is_fog,risk_score,severity
51.51915,-0.169223,513,23,2,0,1,0,0,0,0,0,33.33,3
52.07713,-1.316498,14,13,6,1,0,0,1,0,1,0,33.33,3
53.43019,-2.354562,28,16,5,0,0,0,0,0,0,0,33.33,3
53.150034,-2.181342,11,1,7,1,1,0,1,0,1,0,33.33,3
51.451665,-0.979186,214,7,2,0,0,0,1,0,1,0,33.33,3
53.468768,-2.120331,26,9,7,1,0,0,1,0,1,0,66.67,2
52.327957,-1.94406,2,6,5,0,0,2,1,0,1,0,33.33,3
51.562727,0.575027,30,8,3,0,0,1,2,1,1,0,100.0,1
53.236443,-2.512825,32,11,2,0,0,0,1,0,1,0,33.33,3
52.255242,-1.564133,21,9,4,0,0,1,1,0,1,0,33.33,3
55.883884,-4.254348,70,19,2,0,0,0,1,0,1,0,66.67,2
52.931307,-1.244205,11,12,6,1,0,1,1,0,1,0,33.33,3
51.493699,-0.49812,78,13,2,0,0,1,1,0,1,0,33.33,3
53.025375,-2.166953,157,12,4,0,0,0,1,0,1,0,33.33,3
52.411702,-3.932298,4,15,5,0,0,1,2,1,1,0,33.33,3
52.122419,0.175911,18,14,1,0,0,0,1,0,1,0,33.33,3
50.46697,-3.528512,121,12,5,0,0,0,1,0,1,0,33.33,3
56.190856,-3.156121,15,8,5,0,0,2,1,0,1,0,33.33,3
53.195984,-1.323533,146,11,2,0,0,1,1,0,1,0,33.33,3
51.541263,-0.281541,79,10,3,0,0,1,1,0,1,0,33.33,3
51.516392,-0.142525,723,18,2,0,0,0,1,0,1,0,33.33,3
51.645404,-3.368937,3,8,3,0,0,0,1,0,1,0,33.33,3
52.831457,-1.180331,21,12,4,0,0,1,1,0,1,0,33.33,3
54.215521,-1.481493,5,8,1,0,0,0,1,0,1,0,33.33,3
53.610233,-0.964595,76,10,6,1,0,0,1,0,1,0,33.33,3
50.793649,0.043363,68,18,2,0,0,0,1,0,1,0,33.33,3
51.395172,-2.691481,4,17,2,0,0,0,1,0,1,0,33.33,3
53.51021,-1.088879,89,13,5,0,0,0,1,0,1,0,33.33,3
51.311211,-0.28025,6,7,2,0,0,0,0,0,0,0,33.33,3
53.963166,-1.115916,40,20,6,1,0,1,0,0,0,0,33.33,3
51.558254,0.069666,384,14,6,1,0,0,1,0,1,0,33.33,3
52.502413,-1.882996,103,11,2,0,0,0,1,0,1,0,33.33,3
52.800286,0.870413,4,16,4,0,0,1,2,1,1,0,33.33,3
52.257292,-2.156435,11,16,3,0,0,0,1,0,1,0,33.33,3
55.861676,-4.269522,280,16,7,1,0,1,1,0,1,0,33.33,3
51.417279,-0.430732,104,17,5,0,0,1,1,0,1,0,33.33,3
51.206693,-0.09875,2,17,4,0,0,0,1,0,1,0,100.0,1
53.496845,-2.167894,25,17,6,1,0,1,1,0,0,1,33.33,3
50.824021,-0.166024,171,2,5,0,1,1,1,0,1,0,66.67,2
51.412932,-0.775138,30,11,5,0,0,0,1,0,1,0,33.33,3
54.617231,-1.059828,61,12,4,0,0,0,1,0,1,0,33.33,3
53.88037,-2.956201,14,13,2,0,0,1,2,1,1,0,33.33,3
51.854035,-2.223999,104,17,7,1,0,1,1,0,1,0,33.33,3
51.46314,-0.210912,228,23,2,0,1,1,2,1,1,0,33.33,3
53.604558,-2.144292,116,15,5,0,0,0,1,0,1,0,33.33,3
51.401631,0.51377,55,0,1,0,1,0,1,0,1,0,33.33,3
55.865506,-4.212207,75,7,3,0,0,0,1,0,1,0,33.33,3
52.671477,0.110652,5,8,4,0,0,1,2,1,1,0,33.33,3
50.776468,0.290285,71,22,1,0,1,1,1,0,1,0,33.33,3
53.42566,-2.264079,35,9,1,0,0,1,2,1,1,0,33.33,3
52.905821,-1.237065,38,23,3,0,1,0,1,0,1,0,33.33,3
53.39151,-0.746748,9,6,1,0,0,1,1,0,1,0,33.33,3
52.584998,-2.016055,142,8,3,0,0,0,1,0,1,0,33.33,3
52.320487,-1.70023,3,16,4,0,0,1,2,1,1,0,33.33,3
53.738622,-1.727983,106,19,7,1,0,0,1,0,1,0,33.33,3
51.313444,0.456708,0,8,1,0,0,2,2,0,1,0,66.67,2
53.730529,-2.664184,72,15,1,0,0,2,1,0,1,0,33.33,3
53.657463,-1.483827,30,21,6,1,0,0,1,0,1,0,66.67,2
51.411371,0.009241,79,21,6,1,0,0,1,0,1,0,66.67,2
51.380608,-2.374711,86,10,3,0,0,0,0,0,0,0,33.33,3
53.247848,-0.890934,5,19,6,1,0,0,1,0,1,0,33.33,3
